priceid,sku,title,Customer,Price
15258,1277,1319 MEN SUIT,TOP RYDE TAILORING,65 / 19.50
15259,1149,3208 TAIL SUIT,THE WEDDING CENTRE,120 / 90 JACKET ONLY
15260,1271,22160/3 SUIT,VELE / SNK ,70 / 17.50 / 100 BIG
15261,702,MF W2 JACKET ONLY,J & J BRIDES,65
15262,150,"1034 SHIRT  , 1090 SHIRT",WORKWEAR.COM,20
15263,654,1090 SHIRT ,FASHIONABLY YOURS,20 / 23
15264,1241,MF W2 DINNER JACKET ONLY,FORMAL HIRE ARE US,65
15265,1278,JASON SHOE,MICK T'S CLOTHING,35
15266,1279,JASON,M&S,35
15267,1240,168/1 SUIT,MS MENSWEAR-CAMPBELLTOWN,85 /25
15268,1280,"22160/3,4,5 SUIT",MS MENSWEAR-CAMPBELLTOWN,75 / 22.5
15269,1278,JASON SHOE,MS MENSWEAR-CAMPBELLTOWN,35
15270,1281,1280/6 NAVY SUIT,JUST FOR HIM,95 / 25 
15271,1282,"JOEL , JASON SHOE",THE ELEGANCE TAILORING,35
15272,863,3474 SHIRT,THE ELEGANCE TAILORING,20 / 23  BIG
15273,1243,5110 SHIRT,GLEESONS MERCERY,25 / 30 BIG
15274,1243,5110 SHIRT,MANDURAH FORMALWEAR,22 / 25
15275,327,WC SHIRT,MANDURAH FORMALWEAR,22 / 25 
15276,535,3208 W2 SUIT,MANDURAH FORMALWEAR,99
15277,1266,"15501/2, 3 SUIT ",ECHUCA FASHION CENTRE,55 / 15
15278,1212,15501 SUIT,BOULTERS MENSWEAR (5% DISCOUNT),55 / 16.50
15279,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",PURSE GLOVES MENSWEAR,55 / 16.50
15280,1283,31333/10 SUIT,PURSE GLOVES MENSWEAR,140 / 45 
15281,1240,168/1 SUIT,SK MENSWEAR BLACK TOWN,85 / 25 
15282,740,MF SHIRT ,THE WEDDING SHOPPE - DUBBO,18.5 / 20.50 BIG
15283,1220,1319/3 BOY SUIT ,SPOT ON FASHION,50 / 15
15284,1284,15501/2,WILLIAM PANTHER,55 / 16.50
15285,842,8944/633 SUIT,BONAMAN-F/F 22/04/15,60
15286,1240,168/1 SUIT,BONAMAN-F/F 22/04/15,85 / 25 
15287,327,WC SHIRT,PENGUINS FORMAL,25
15288,1286,3051 SHIRT,MILTONS GEAR,22.50 / 25.50 
15289,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",PARRYS P/L 5% DISCOUNT NEW OWNER,55 / 16.50
15290,1189,1544 SPORT COAT,HORNSBY TAILOR,65 / 75 BIG
15291,1241,MF W2 DINNER JACKET ONLY,HORNSBY TAILOR,65
15292,1287,"JOEL, JASON",REUBEN F. SCARF NEWCASTLE / CHERMSIDE,38.5
15293,1288,MF COL TRS,HORNSBY TAILOR,18.5
15294,772,9024/241 SUIT,MAN ABOUT FORMAL,60 (SPECIAL)
15295,1289,1504 POLY COTTON POLO SHIRT,SWANNIES MENSLAND,11.5
15296,1290,PURE COTTON POLO SHIRT,SWANNIES MENSLAND,16
15297,1291,MF SHIRT NAVY SPECIAL,LEOTTA'S EMPROIUM,10
15298,863,3474 SHIRT,THE WEDDING SHOPPE - DUBBO,22 / 25 BIG
15299,1243,5110 SHIRT,JUST FORMAL - DARWIN,20 / 23 
15300,654,1090 SHIRT ,JUST FORMAL - DARWIN,20 / 23 
15301,1273,1319 BOY SUIT,BLACK TIE BY XAVIER,53.9 / 16.5 TRS
15302,1239,1034 MEN SHIRT,SUITS 2U,20 / 23
15303,986,BOY 3474 SHIRT,MS MENSWEAR- CAMPBELLTOWN,20
15304,489,3208 SUIT,ENVY U CLOTHING,89
15305,1207,1319/3 SUIT,GENTLEMENTS OUTFITS --CHAR,70 / 21
15306,253,"TRIM SUIT, T128 (W2)",GENTLEMENTS OUTFITS --CHAR,85 / 25
15307,1111,8944/723 SUIT NO TRIM,BONAMAN-F/F 22/04/15,60
15308,557,BOY MF SHIRT,MORE 4 MEN,16.5
15309,1245,1501 POLO SHIRT,WALLACE & CO,11.5
15310,851,"1034 , 1090 BOY SHIRT",MENSLAND PORT PIRIE,16.5
15311,1292,CARGO TRS,MA & PA'S FASHION,10
15312,1084,POLO T SHIRT,MA & PA'S FASHION,12.5
15313,910,TRACK PANT,MA & PA'S FASHION,5.5
15314,1239,1034 MEN SHIRT,REUBEN F. SCARF NEWCASTLE / CHERMSIDE,17.5
15315,1293,6791/2 JACKET ONLY,NEW PARIS ,65
15316,1294,679/16 JACKET ONLY ,NEW PARIS ,65
15317,1295,3051 SHIRT L/S,S & C,21
15318,1296,1898 SATIN LAPELL SUIT,RAYMOND'S,85 / 25 / JACKET ONLY 65
15319,863,3474 SHIRT,REUBEN F. SCARF NEWCASTLE / CHERMSIDE,20 ALL SIZE
15320,1243,5110 SHIRT,REUBEN F. SCARF NEWCASTLE / CHERMSIDE,20  / 23 BIG
15321,1009,TOBY SHOES,EDGE SUIT OUTLET & RENTALS,35
15322,1297,EMPTY CUFFLINK BOX,BONANNO'S MENSWEAR,1
15323,863,3474 SHIRT,FORMAL HIRE ARE US,22.5 /25.5 BIG
15324,441,1126/7 SUIT,BONAMAN-F/F 22/04/15,85
15325,444,RFS/AF028 TRS,BO BO FASHION,16
15326,1298,168/1 W2 VELVET SUIT,FRANK ROCCA,85 / 25 
15327,1299,3051 L/S SHIRT,MICK T'S CLOTHING,22 / 25 BIG
15328,1300,3051 S/S SHIRT,MICK T'S CLOTHING,20 / 23 
15329,1267,JOEL SHOE,MICK T'S CLOTHING,35
15330,1301,TOBY SHOE,MICK T'S CLOTHING,35
15331,1286,3051 SHIRT,"NO 12 / 21-RFS, CHERMSIDE",22.5 / 25.5 BIG
15332,1243,5110 SHIRT,"NO 12 / 21-RFS, CHERMSIDE",20 / 23 BIG
15333,1197,22160/5 SUIT ,TRAMPS FOR MEN,60 / 18.00 TRS / BIG 65
15334,842,8944/633 SUIT,JENNY CAI FASHION / EASY CLOTHING,65 / 19.5
15335,535,3208 W2 SUIT,S & C,95
15336,863,3474 SHIRT,LES LEES,22.5 / 25.5 BIG
15337,1302,COTTON SHORT,BOSSCO FOR MEN,6.5
15338,1303,MF TRS & CO TRS,HUGHES CLOTHING CO.,18.5
15339,1304,15501/2 & 3,GENTLEMENTS OUTFITS --CHAR,55
15340,1299,3051 L/S SHIRT,SK MENSWEAR BLACK TOWN,22.5
15341,1305,3208 TAIL JACKET ONLY,ROMEO & JULIET,95
15342,1306,3474 BIG SIZE MEN SHIRT,BYRNE CLOTHING,25
15343,1207,1319/3 SUIT,ROMEO & JULIET,65
15344,1252,P1898/28 SUIT,THE ELEGANCE TAILORING,75 / 85 BIG
15345,1307,BOY MF W2 DINNER JACKET ONLY,THE ELEGANCE TAILORING,53.5 ( BOY TRS 16.5) 70 SUIT
15346,1207,1319/3 SUIT,TRAMPS FOR MEN,52
15347,740,MF SHIRT ,MICHAEL MUSARRA,16.5 / 18.5 BIG
15348,1308,5031 SHIRT S/S,MICHAEL MUSARRA,20
15349,1309,"JASON, JOE",NEW PARIS ,35
15350,1310,1501/1 POLO SHIRT,MIKE SAMSON,10
15351,1295,3051 SHIRT L/S,BONAMAN-F/F 22/04/15,20
15352,1027,3474 BOY SHIRT,THE ELEGANCE TAILORING,19
15353,1311,1503/1 JACKET ONLY,JOE LICHAA,65
15354,1312,MF VEST,COLBEST DESIGN,16
15355,1076,PV VEST,COLBEST DESIGN,21
15356,1078,TRIM VEST,COLBEST DESIGN,25
15357,1286,3051 SHIRT,THE HUB (5% DISCOUNT),22.50 / 25.5 BIG
15358,1243,5110 SHIRT,THE HUB (5% DISCOUNT),22.5 / 25.5 BIG
15359,1313,2 TONE BOW TIE,THE HUB (5% DISCOUNT),5
15360,1027,3474 BOY SHIRT,THE HUB (5% DISCOUNT),20
15361,1314,168/1 BLACK SUIT,DAVID MARCS FORMAL HIRE,95 / 25 
15362,1126,BOY 1034 SHIRT,BONANNO'S MENSWEAR,19.25 / 22.55 BIG
15363,1315,1837/13 BLUE JACKET ONLY,JUST FOR HIM,75
