sku,title
905, BOY TRIM TRS / VEST
906,CHECK BOW TIE
907,1199/58 & 1027/1 TRIM SUIT
908,CLEARANCE PURE WOOL SUIT
909,W2 MF DINNER SUIT
910,TRACK PANT
911,SPECIAL SUIT
912,"SHOES 16149,51,53,54 "
913,81792/7 BOY SUIT 
914,"3104W/29,3104W/67,ZSU10 PURE WOOL SUITS"
915,ZSU010 SPECIAL
916,CP5545 TRS
917,3208 SUIT 2B
918,7862/5S SUIT
919,ZSU009 SUIT
920,"6366,6365,9637, SHOE"
921,"9024/241,1126,398/23,1203,7616 FASHION PV SUIT"
922,"31333,32106 PURE WOOL SUIT"
923,9246 POLY WOOL SPORTS COAT
924,"WINTER JKT JM02, "
925,1943 COTTON SHIRT
926,6103 LEATHER SHOE
927,JM06 SHORT WINTER JACKET
928,8018 COTTON SHIRT
929,CORDUROY JKT 8793
930,3104W SUIT
931,HJ JACKET 3603 
932,3474  SHIRT
933,4702 SHOE
934,8793 SPORT JACKET 
935,3603 JACKET
936,"8018/3, 8018/1 SHIRT"
937,12MM WHTIE SUIT
938,82212 SUIT SPECIAL
939,3104W/67 SUIT
940,MF WHITE W2 SUIT
941,MF WHITE W2 JACKET ONLY
942,WHITE W2 WITH BLK TRIM
943,5502/5 VEST
944,3855 JACKET 
945,4641 GREY JACKET 
946,028 JACKET 
947,"4702, ELI SHOES"
948,3208 CHAR SUIT 
949,9246/2 SPORT JACKET
950,MF W2 COLOUR DINNER SUIT
951,4641 JACKET
952,3104W/67 VEST
953,POLY VISCOVE VEST
954,"7616/1, 398/23 SUIT SPECIAL"
955,8930 JACKET
956,2014 KNIT #5
957,2014 KNIT #9
958,"ELI, TOBY SHOES"
959,MF WHITE WITH BLK TRIM W2 SUIT 
960,3474 SHIRT BOY
961,3474 MEN SHIRT
962,MF DINNER W2 JACKET ONLY
963,"1126/5, 398/23, 7616/1 SUIT"
964,"MF SUIT 3B CHAR, BONE, TAUPE"
965,MF SUIT 2B PETROL
966,MF SUIT 4B BLACK
967,MF FABRIC
968,36510/2 LOW WOOL VEST
969,8977/31 VEST
970,5998/12 VEST
971,BOY TRIM VEST
972,WORKWEAR V NECK NAVY
973,ELI SHOES
974,7862/5 SUIT & 5501/2 SUIT
975,2018/4 TRIM SUIT
976,
977,5502/4 SUIT 44R-1
978,3209 SUIT
979,"PB026, PB027 BELT ONLY"
980,POLY VISCOES
981,MF W2 DINNER SUIT WHITE
982,MF WHITE DINNER SUIT W2
983,"4607, ELI"
984,1203/6 & 1126/5 SUITS
985,"TOBY, ELI SHOES"
986,BOY 3474 SHIRT
987,KNITE #5
988,KNIT #6 & #9
989,BOW TIE CHEAP
990,J3603 JACKET
991,82212/7 FASHION PV SUIT
992,K50181 SUIT SPECIAL
993,"4702, 6103 SHOES"
994,7862/5 SUIT
995,7183/7 SLIM FIT PV SUIT
996,TOBY  & ELI SHOES
997,KNITS #5
998,KNITS #9 &  #6
999,6759 JUMPER
1000,KNITS CK LABEL
1001,MF W2 WHT / BLACK SUIT
1002,ISU005 (50685/4 SUIT)
1003,MF W2 DINNER SUIT
1004,7089/16 TRS
1005,BOY TRIM TRS & VEST
1006,398/28 W4 TRIM SUIT
1007,1144 WING COLLAR SHIRT
1008,6365 SHOES
1009,TOBY SHOES
1010,17089/2 TRS
1011,9346 SPORT COAT
1012,31081/2 W2 PURE WOOL SUIT
